TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,valve1,valve2,pumps,tableContact,penetration,penetrationSource
0.109,1,0.0866,1.2936,-0.0420,0.2341,0.2336,0.4141,0.8480,0.1113,1.3304,0.0027,0.7135,-0.3906,0.1716,0.5559,0.0866,1.2936,-0.0420,0.2341,0.2336,0.4141,0.8480,0.1113,1.3304,0.0027,0.7135,-0.3906,0.1716,0.5559,0.1203,1.3670,-0.4286,0.1560,0.1303,0.0555,-0.9776,-0.1213,1.3929,0.0814,0.0015,0.9981,-0.0582,0.0185,0,0,0.0000,0,0,0,0,none,0.0000,none
0.119,1,0.0866,1.2940,-0.0437,0.2304,0.2303,0.4133,0.8503,0.1109,1.3304,0.0015,0.7126,-0.3925,0.1744,0.5548,0.0866,1.2940,-0.0437,0.2304,0.2303,0.4133,0.8503,0.1109,1.3304,0.0015,0.7126,-0.3925,0.1744,0.5548,0.1197,1.3670,-0.4287,0.1558,0.1338,0.0549,-0.9772,-0.1213,1.3830,0.0815,0.0008,0.9981,-0.0583,0.0185,0,0,0.0000,0,0,0,0,none,0.0000,none
0.129,1,0.0866,1.2943,-0.0456,0.2262,0.2267,0.4124,0.8528,0.1106,1.3305,0.0002,0.7116,-0.3945,0.1773,0.5536,0.0866,1.2943,-0.0456,0.2262,0.2267,0.4124,0.8528,0.1106,1.3305,0.0002,0.7116,-0.3945,0.1773,0.5536,0.1193,1.3670,-0.4288,0.1556,0.1369,0.0545,-0.9768,-0.1213,1.3721,0.0816,0.0001,0.9981,-0.0584,0.0185,0,0,0.0000,0,0,0,0,none,0.0000,none
0.139,1,0.0869,1.2948,-0.0478,0.2213,0.2245,0.4107,0.8555,0.1105,1.3306,-0.0018,0.7107,-0.3964,0.1813,0.5522,0.0869,1.2948,-0.0478,0.2213,0.2245,0.4107,0.8555,0.1105,1.3306,-0.0018,0.7107,-0.3964,0.1813,0.5522,0.1188,1.3669,-0.4289,0.1553,0.1395,0.0541,-0.9765,-0.1214,1.3603,0.0817,-0.0006,0.9981,-0.0584,0.0184,0,0,0.0000,0,0,0,0,none,0.0000,none
0.149,1,0.0873,1.2953,-0.0502,0.2160,0.2222,0.4089,0.8584,0.1104,1.3307,-0.0041,0.7094,-0.3986,0.1854,0.5510,0.0873,1.2953,-0.0502,0.2160,0.2222,0.4089,0.8584,0.1104,1.3307,-0.0041,0.7094,-0.3986,0.1854,0.5510,0.1185,1.3670,-0.4290,0.1546,0.1418,0.0541,-0.9763,-0.1214,1.3474,0.0818,-0.0013,0.9981,-0.0585,0.0184,0,0,0.0000,0,0,0,0,none,0.0000,none
0.159,1,0.0877,1.2960,-0.0526,0.2095,0.2212,0.4060,0.8616,0.1103,1.3312,-0.0065,0.7076,-0.3995,0.1905,0.5508,0.0877,1.2960,-0.0526,0.2095,0.2212,0.4060,0.8616,0.1103,1.3312,-0.0065,0.7076,-0.3995,0.1905,0.5508,0.1182,1.3669,-0.4290,0.1539,0.1441,0.0541,-0.9760,-0.1214,1.3336,0.0819,-0.0021,0.9981,-0.0586,0.0184,0,0,0.0000,0,0,0,0,none,0.0000,none
0.169,1,0.0881,1.2967,-0.0550,0.2026,0.2202,0.4030,0.8649,0.1103,1.3315,-0.0091,0.7068,-0.3999,0.1963,0.5495,0.0881,1.2967,-0.0550,0.2026,0.2202,0.4030,0.8649,0.1103,1.3315,-0.0091,0.7068,-0.3999,0.1963,0.5495,0.1179,1.3667,-0.4291,0.1536,0.1453,0.0535,-0.9759,-0.1214,1.3189,0.0820,-0.0028,0.9981,-0.0586,0.0183,0,0,0.0000,0,0,0,0,none,0.0000,none
0.179,1,0.0885,1.2974,-0.0576,0.1957,0.2191,0.3998,0.8682,0.1102,1.3317,-0.0117,0.7065,-0.3999,0.2024,0.5478,0.0885,1.2974,-0.0576,0.1957,0.2191,0.3998,0.8682,0.1102,1.3317,-0.0117,0.7065,-0.3999,0.2024,0.5478,0.1177,1.3667,-0.4291,0.1524,0.1467,0.0533,-0.9759,-0.1217,1.3147,0.0856,-0.0038,0.9994,-0.0293,0.0198,0,0,0.0000,0,0,0,0,none,0.0000,none
0.189,1,0.0891,1.2983,-0.0595,0.1895,0.2196,0.3962,0.8712,0.1102,1.3317,-0.0139,0.7088,-0.3976,0.2097,0.5436,0.0891,1.2983,-0.0595,0.1895,0.2196,0.3962,0.8712,0.1102,1.3317,-0.0139,0.7088,-0.3976,0.2097,0.5436,0.1174,1.3666,-0.4291,0.1518,0.1480,0.0532,-0.9758,-0.1218,1.3127,0.0900,-0.0044,0.9998,0.0074,0.0203,0,0,0.0000,0,0,0,0,Table Upper Target,0.0000,none
0.199,1,0.0896,1.2992,-0.0614,0.1836,0.2202,0.3924,0.8740,0.1103,1.3317,-0.0161,0.7104,-0.3955,0.2163,0.5404,0.0896,1.2992,-0.0614,0.1836,0.2202,0.3924,0.8740,0.1103,1.3317,-0.0161,0.7104,-0.3955,0.2163,0.5404,0.1173,1.3665,-0.4292,0.1511,0.1487,0.0531,-0.9758,-0.1211,1.3147,0.0930,0.0037,0.9992,0.0327,0.0229,0,0,0.0000,0,0,0,0,Table Upper Target,0.0006,Table Upper Target
