TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.216,1,0.3205,1.3159,0.2230,-0.1836,0.8579,-0.1940,-0.4390,0.2740,1.3122,0.2199,-0.1882,0.7932,-0.3358,0.4719,0.3205,1.3159,0.2230,-0.1836,0.8579,-0.1940,-0.4390,0.2740,1.3122,0.2199,-0.1882,0.7932,-0.3358,0.4719,0.5270,1.6366,-0.1122,-0.1879,0.4021,-0.0733,-0.8931,-0.1200,0.9690,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.226,1,0.3205,1.3160,0.2227,-0.1838,0.8579,-0.1940,-0.4389,0.2733,1.3123,0.2202,-0.1908,0.7953,-0.3306,0.4710,0.3205,1.3160,0.2227,-0.1838,0.8579,-0.1940,-0.4389,0.2733,1.3123,0.2202,-0.1908,0.7953,-0.3306,0.4710,0.5264,1.6366,-0.1115,-0.1887,0.4049,-0.0728,-0.8917,-0.1200,0.9472,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.236,1,0.3206,1.3161,0.2224,-0.1842,0.8578,-0.1940,-0.4389,0.2729,1.3124,0.2203,-0.1924,0.7965,-0.3275,0.4705,0.3206,1.3161,0.2224,-0.1842,0.8578,-0.1940,-0.4389,0.2729,1.3124,0.2203,-0.1924,0.7965,-0.3275,0.4705,0.5257,1.6365,-0.1109,-0.1897,0.4076,-0.0724,-0.8903,-0.1200,0.9333,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.246,1,0.3206,1.3162,0.2222,-0.1847,0.8577,-0.1942,-0.4388,0.2726,1.3124,0.2203,-0.1935,0.7972,-0.3256,0.4700,0.3206,1.3162,0.2222,-0.1847,0.8577,-0.1942,-0.4388,0.2726,1.3124,0.2203,-0.1935,0.7972,-0.3256,0.4700,0.5251,1.6365,-0.1104,-0.1911,0.4101,-0.0721,-0.8889,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.256,1,0.3205,1.3162,0.2218,-0.1850,0.8575,-0.1945,-0.4389,0.2713,1.3124,0.2209,-0.1978,0.8002,-0.3178,0.4685,0.3205,1.3162,0.2218,-0.1850,0.8575,-0.1945,-0.4389,0.2713,1.3124,0.2209,-0.1978,0.8002,-0.3178,0.4685,0.5244,1.6363,-0.1101,-0.1920,0.4132,-0.0718,-0.8873,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.266,1,0.3202,1.3162,0.2214,-0.1859,0.8570,-0.1955,-0.4392,0.2702,1.3123,0.2212,-0.2018,0.8022,-0.3122,0.4672,0.3202,1.3162,0.2214,-0.1859,0.8570,-0.1955,-0.4392,0.2702,1.3123,0.2212,-0.2018,0.8022,-0.3122,0.4672,0.5238,1.6363,-0.1098,-0.1930,0.4166,-0.0718,-0.8855,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.276,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5233,1.6364,-0.1097,-0.1938,0.4193,-0.0712,-0.8841,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.286,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5226,1.6363,-0.1097,-0.1940,0.4216,-0.0712,-0.8829,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.296,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5219,1.6361,-0.1097,-0.1946,0.4237,-0.0711,-0.8818,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.306,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5213,1.6359,-0.1100,-0.1951,0.4253,-0.0711,-0.8809,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
